,School,Students,District
883,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Columbus School
300 University Avenue, Bridgeport, CT, 06604  Homes for sale",576.0,Bridgeport School District
884,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Myrtle H. Stevens School
322 Orchard Street, Rocky Hill, CT, 06067  Homes for sale",577.0,Rocky Hill School District
885,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Litchfield High School
14 Plumb Hill Road, Litchfield, CT, 06759  Homes for sale",285.0,Litchfield School District
886,"10/10Top ratedGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Oakdale School
30 Indiana Circle, Montville, CT, 06370  Homes for sale",277.0,Montville School District
887,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Oxford Center School
462 Oxford Road, Oxford, CT, 06478  Homes for sale",402.0,Oxford School District
888,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Mary R. Fisher Elementary School
785 Riverside Drive, Thompson, CT, 06255  Homes for sale",430.0,Thompson School District
889,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Helen Street School
285 Helen Street, Hamden, CT, 06514  Homes for sale",315.0,Hamden School District
890,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Mill Hill School
635 Mill Hill Terrace, Fairfield, CT, 06890  Homes for sale",347.0,Fairfield School District
891,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Terryville High School
33 North Harwinton Avenue, Plymouth, CT, 06786  Homes for sale",447.0,Plymouth School District
892,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Eli Whitney Technical High School
100 Fairview Avenue, Hamden, CT, 06514  Homes for sale",551.0,Connecticut Technical High School
893,"10/10Top ratedGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
North Mianus School
309 Palmer Hill Road, Riverside, CT, 06878  Homes for sale",505.0,Greenwich School District
894,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Orville H. Platt High School
220 Coe Avenue, Meriden, CT, 06451  Homes for sale",915.0,Meriden School District
895,"10/10Top ratedGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Green's Farms School
17 Morningside Drive South, Westport, CT, 06880  Homes for sale",417.0,Westport School District
896,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Crystal Lake School
284 Sandy Beach Rd, Ellington, CT, 06029  Homes for sale",293.0,Ellington School District
897,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Explorations
71 Spencer Street, Winchester, CT, 06098  Homes for sale",96.0,Explorations District
898,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Sports And Medical Sciences Academy
280 Huyshope Avenue, Hartford, CT, 06106  Homes for sale",700.0,Hartford School District
899,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Sanchez School
176 Babcock Street, Hartford, CT, 06106  Homes for sale",364.0,Hartford School District
900,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Flanders School
100 Victoria Drive, Southington, CT, 06489  Homes for sale",283.0,Southington School District
901,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Northeast School
82 Scofieldtown Rd, Stamford, CT, 06903  Homes for sale",655.0,Stamford School District
902,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Bethel High School
300 Whittlesey Drive, Bethel, CT, 06801  Homes for sale",896.0,Bethel School District
903,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Old Saybrook Senior High School
1 awardAwards & BadgesCollege Success Award2019See all winners in Connecticut1111 Boston Post Road, Old Saybrook, CT, 06475  Homes for sale",453.0,Old Saybrook School District
904,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Smith School
142 Rutherford Street, New Britain, CT, 06051  Homes for sale",548.0,New Britain School District
905,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Fields Memorial School
8 Bozrah Street Extension, Bozrah, CT, 06334  Homes for sale",202.0,Bozrah School District
906,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Richard D. Hubbard School
139 Grove Street, Berlin, CT, 06023  Homes for sale",211.0,Berlin School District
907,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Gideon Welles School
1029 Neipsic Road, Glastonbury, CT, 06033  Homes for sale",458.0,Glastonbury School District
908,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Rogers Park Middle School
21 Memorial Drive, Danbury, CT, 06810  Homes for sale",932.0,Danbury School District
909,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Thompson Middle School
785 Riverside Drive, Thompson, CT, 06255  Homes for sale",335.0,Thompson School District
